"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_latice_cuadrada"
"04/06/2026 18:29:29:434 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"54","4","látice cuadrada","8","2","10","10","1","10000","0.16236507936508743"
"55","4","látice cuadrada","8","2","10","10","1","10000","0.17321515429195877"
"53","4","látice cuadrada","8","2","10","10","1","15000","0.2705260538872223"
"58","4","látice cuadrada","8","2","10","10","1","5000","0.05393634214142501"
"56","4","látice cuadrada","8","2","10","10","1","10000","0.11231363779529546"
"57","4","látice cuadrada","8","2","10","10","1","10000","0.14685122527996042"
"54","4","látice cuadrada","8","2","10","10","1","15000","0.28338888888888514"
"55","4","látice cuadrada","8","2","10","10","1","15000","0.34216152269461364"
"53","4","látice cuadrada","8","2","10","10","1","20000","0.5728423853991653"
"58","4","látice cuadrada","8","2","10","10","1","10000","0.16681503673879092"
"59","4","látice cuadrada","8","2","10","10","1","0","0.002715327004694401"
"57","4","látice cuadrada","8","2","10","10","1","15000","0.29688946236681135"
"56","4","látice cuadrada","8","2","10","10","1","15000","0.21301177952758008"
"54","4","látice cuadrada","8","2","10","10","1","20000","0.5494206349206856"
"55","4","látice cuadrada","8","2","10","10","1","20000","0.5668942445428893"
"60","4","látice cuadrada","8","2","10","10","1","0","-6.240880693087897E-4"
"58","4","látice cuadrada","8","2","10","10","1","15000","0.2969597967672402"
"59","4","látice cuadrada","8","2","10","10","1","5000","0.06570669473540557"
"57","4","látice cuadrada","8","2","10","10","1","20000","0.6231662424372585"
"56","4","látice cuadrada","8","2","10","10","1","20000","0.5174706141732606"
"60","4","látice cuadrada","8","2","10","10","1","5000","0.06276655725744103"
"58","4","látice cuadrada","8","2","10","10","1","20000","0.6406689215834023"
"59","4","látice cuadrada","8","2","10","10","1","10000","0.15689650307027248"
"60","4","látice cuadrada","8","2","10","10","1","10000","0.11516788393483367"
"59","4","látice cuadrada","8","2","10","10","1","15000","0.25561104557974235"
"60","4","látice cuadrada","8","2","10","10","1","15000","0.28870314665738683"
"59","4","látice cuadrada","8","2","10","10","1","20000","0.37178850799172547"
"60","4","látice cuadrada","8","2","10","10","1","20000","0.5850342408865744"
